Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-05-22,08:15,10:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,10:15,12:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,12:15,14:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,14:15,16:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,16:15,18:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,18:15,20:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-22,20:15,22:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-23,08:15,10:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-23,10:15,12:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
2025-05-23,12:15,14:15,,Terrain Longue-Allée,Parc Longue-Allée,Plage horaire,Longue-Allée,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"9U B Masculin, RC Masculin",,
