Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-06-21,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-21,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-22,10:00,12:00,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,Pratique,,,,,
2025-06-22,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-22,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-23,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-23,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-24,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-24,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-30,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-30,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-01,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,,,,
2025-07-03,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-04,18:15,20:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-04,20:15,22:15,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-06,08:00,10:00,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-06,10:00,12:00,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-07-06,12:00,14:00,,Cage frappeurs,Parc Aydelu,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
